DateTime,Temperature (C),Temperature (F),Condition,Humidity,Wind (kph),Pressure (mb)
2025-04-08 00:00,19.6,67.2,Clear ,68,4.0,1013.0
2025-04-08 01:00,19.4,66.9,Moderate rain at times,69,4.0,1012.0
2025-04-08 02:00,18.8,65.9,Patchy rain nearby,71,4.3,1012.0
2025-04-08 03:00,18.5,65.3,Clear ,74,5.0,1012.0
2025-04-08 04:00,18.5,65.3,Clear ,76,4.7,1012.0
2025-04-08 05:00,18.3,65.0,Clear ,79,4.0,1013.0
2025-04-08 06:00,19.5,67.2,Sunny,80,4.7,1014.0
2025-04-08 07:00,24.4,75.8,Sunny,71,2.5,1014.0
2025-04-08 08:00,27.8,82.0,Sunny,60,2.9,1014.0
2025-04-08 09:00,29.8,85.6,Sunny,52,5.8,1014.0
2025-04-08 10:00,31.6,88.9,Sunny,45,6.1,1013.0
2025-04-08 11:00,33.2,91.7,Sunny,38,7.6,1012.0
2025-04-08 12:00,34.1,93.4,Sunny,32,9.0,1011.0
2025-04-08 13:00,34.4,93.9,Sunny,30,9.4,1010.0
2025-04-08 14:00,34.4,93.8,Sunny,29,9.0,1009.0
2025-04-08 15:00,34.2,93.5,Sunny,30,8.3,1009.0
2025-04-08 16:00,33.4,92.1,Patchy rain nearby,33,5.8,1009.0
2025-04-08 17:00,31.8,89.2,Patchy rain nearby,42,2.9,1009.0
2025-04-08 18:00,27.3,81.1,Patchy rain nearby,59,3.6,1011.0
2025-04-08 19:00,24.3,75.7,Patchy rain nearby,69,3.6,1012.0
2025-04-08 20:00,20.6,69.0,Patchy rain nearby,78,5.0,1014.0
2025-04-08 21:00,19.9,67.8,Patchy rain nearby,82,5.4,1014.0
2025-04-08 22:00,19.2,66.6,Patchy rain nearby,85,4.3,1014.0
2025-04-08 23:00,18.7,65.6,Patchy rain nearby,86,4.0,1014.0
