Year,Temperatue,Humidity,Wind Speed,Rainfall
2010,24.33,77.06,2.4,5.27
2010,27.08,66.12,2.22,0
2010,31.68,54.19,2.27,0
2010,33.92,53.94,2.25,26.37
2010,31.23,65.31,2.58,89.65
2010,28.65,69.38,3.2,84.38
2010,27.73,69.56,3.2,68.55
2010,27.57,74,2.61,163.48
2010,26.8,76.62,2.03,84.38
2010,26.35,80.19,1.78,126.56
2010,24,89.56,1.68,311.13
2010,22.15,88.38,2.17,94.92
2011,22.01,83.94,2.32,10.55
2011,25,73.12,2.17,5.27
2011,29.58,59,2.28,0
2011,31.53,60.69,2.16,89.65
2011,31.23,62.25,2.23,21.09
2011,30.68,57.06,4.22,10.55
2011,28.48,63.88,3.75,63.28
2011,28.36,67.25,3.06,79.1
2011,28.12,70,2.41,131.84
2011,25.91,82.25,1.41,195.12
2011,23.4,86.75,2.36,174.02
2011,22.58,81.19,2.48,42.19
2012,23.58,75.62,2.04,0
2012,26.39,65.31,2.34,0
2012,32.14,54.12,2.24,0
2012,32.67,57.06,2.16,36.91
2012,30.31,65.31,2.57,58.01
2012,29.51,61.25,3.87,52.73
2012,29.45,62.38,3.17,52.73
2012,28.69,66.19,2.84,89.65
2012,27.86,70.62,2.15,131.84
2012,25.84,81.69,2.03,284.77
2012,23.89,81.62,1.79,5.27
2012,24.63,78.31,2.91,21.09
2013,25.53,69.38,2.6,0
2013,27.88,63.12,2.69,5.27
2013,30.88,57.38,2.56,10.55
2013,34.68,51.94,2.49,5.27
2013,33.24,52.75,2.91,31.64
2013,28.81,63.56,4.05,58.01
2013,28.91,61.56,4.25,21.09
2013,28.58,68.38,2.73,110.74
2013,26.4,78.62,2.2,168.75
2013,26.51,78.75,1.63,110.74
2013,24.64,82.44,2.09,105.47
2013,23.44,75.88,2.5,36.91
2014,24.9,69.88,2.84,0
2014,27.91,61.5,2.44,5.27
2014,30.21,54.19,2.62,0
2014,33.76,50.5,2.2,0
2014,30.36,67.25,2.2,110.7
2014,30.07,63.12,3.32,63.28
2014,29.79,59.69,4.18,15.82
2014,28.6,67.56,2.96,79.1
2014,28.76,68.5,2.19,89.65
2014,26.3,79.94,1.7,205.66
2014,23.67,82.19,2.31,63.28
2014,23.87,80.88,2.66,21.09
2015,24.54,73.06,2.41,5.27
2015,26.89,64,2.57,0
2015,31.04,57.31,2.52,0
2015,31.05,64.31,1.98,105.5
2015,29.1,70.56,2.22,110.7
2015,28.12,70.88,3.23,73.83
2015,29.9,61.69,3.34,21.09
2015,29.63,63.88,2.49,79.1
2015,28.83,68.38,2.1,79.1
2015,26.69,77.81,1.71,142.38
2015,24.01,89.69,2.07,358.59
2015,22.77,89.12,2.41,121.29
2016,22.36,81,1.91,0
2016,26.55,71,2.06,0
2016,31.73,57.31,2.14,0
2016,35.45,51.06,2.45,0
2016,31.65,62.31,2.46,116
2016,28.72,66.94,3.2,68.55
2016,28.91,66.5,3.02,89.65
2016,29.07,65.62,2.86,68.55
2016,29,63.25,2.21,10.55
2016,28.81,66.19,1.36,52.73
2016,26.7,67.25,2.27,5.27
2016,25.13,68.19,2.47,42.19
2017,25.26,67.38,2.61,42.19
2017,26.3,61.12,2.41,0
2017,30.4,61.06,2.08,26.37
2017,35.05,48.38,2.16,5.27
2017,31.51,62.81,2.32,68.55
2017,30.07,60.62,3.51,26.37
2017,31.05,55.44,3.35,63.28
2017,27.94,73.19,2.35,110.74
2017,26.63,81,1.81,152.93
2017,25.87,82.94,1.7,131.84
2017,24.3,87.62,2.25,142.38
2017,22.8,83.38,2.27,42.19
2018,23.49,74,2.24,5.27
2018,25.44,69.88,2.28,10.55
2018,29.83,59.12,2.2,10.55
2018,33.45,56.44,2.44,21.09
2018,30.31,67.88,1.77,73.83
2018,29.12,65.69,3.51,52.73
2018,28.69,67.19,3.69,73.83
2018,29.3,62.69,3.67,42.19
2018,29.48,66.5,1.75,100.2
2018,26.37,78.38,1.83,116.02
2018,24.93,81.62,2.32,152.93
2018,24.35,78.88,2.29,10.55
2019,23.98,70.12,2.41,0
2019,29.27,62.25,2.57,0
2019,32.26,51.88,2.39,0
2019,33.8,51.31,2.23,21.09
2019,34.25,53.62,2.14,15.82
2019,31.07,61.38,3.13,42.19
2019,29.56,63.31,3.11,58.01
2019,28.01,69.81,3.5,147.66
2019,26.44,79.88,2.26,205.66
2019,25.34,87.19,1.48,174.02
2019,24.75,87.88,1.91,147.66
2019,23.25,87.38,2.44,58.01
2020,24.33,77.88,2.06,5.27
2020,26.83,67.81,2.53,0
2020,31.69,55.62,2.38,0
2020,33.29,56.31,2.29,10.55
2020,34.69,50.75,2.65,5.27
2020,30.3,61.44,2.95,52.73
2020,27.48,75.56,2.27,163.5
2020,27.44,75.31,2.62,100.2
2020,26.13,80.12,2.35,158.2
2020,25.75,81.5,1.82,100.2
2020,24.61,85.31,2.3,179.3
2020,22.44,87.94,2.66,184.57
